PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02301E+13,USD,4525481166,275,6493,0,0,0,275,712683,20230123,20230115,20221215,2022,20230120,20220824,20230120,20230120,2.02301E+13
2.02301E+13,USD,4515333906,428,7045,0,0,0,428,706317,20230117,20230208,20221215,2022,20230120,20220824,20230116,20230116,2.02301E+13
2.02301E+13,USD,4524049339,122,2013,0,0,0,122,706317,20230118,20230201,20221130,2022,20230117,20220824,20230117,20230117,2.02301E+13
2.02301E+13,USD,4520997462,519,8872,0,0,0,519,542986,20230112,20230115,20221130,2022,20230111,20220824,20230111,20230111,2.02301E+13
2.02304E+13,USD,4540665787,183,4653,0,0,0,183,506581,20230404,20230215,20230115,2023,20230411,20220922,20230404,20230404,2.02304E+13
2.02304E+13,USD,4541289756,275,6979,0,0,0,275,506581,20230404,20230215,20230115,2023,20230411,20220922,20230404,20230404,2.02304E+13
2.02304E+13,USD,4532039672,275,7229,0,0,0,275,506581,20230404,20230215,20230115,2023,20230411,20220922,20230404,20230404,2.02304E+13
2.02304E+13,USD,4545574542,31,775,0,0,0,31,506581,20230404,20230215,20230115,2023,20230411,20220922,20230404,20230404,2.02304E+13
2.02303E+13,USD,4527282685,61,1778,0,0,0,61,624314,20230303,20230215,20230105,2022,20230302,20220922,20230302,20230302,2.02303E+13
2.02303E+13,USD,4533342612,31,889,0,0,0,31,624314,20230303,20230215,20230105,2022,20230302,20220922,20230302,20230302,2.02303E+13
2.02304E+13,USD,4525936635,31,803,0,0,0,31,207087,20230404,20230215,20230115,2023,20230411,20220922,20230404,20230404,2.02304E+13
2.02306E+13,USD,4521594381,31,984,0,0,0,31,953720,20230117,20230115,20221130,2022,20230110,20220824,20230117,20230117,2.02306E+13
2.02306E+13,USD,4544402551,61,1873,0,0,0,61,953720,20230120,20230115,20221130,2022,20230116,20220824,20230118,20230118,2.02306E+13
2.02309E+13,USD,4530166946,92,2825,0,0,0,92,953720,20230926,20231015,20230831,2023,20230921,20230428,20230921,20230921,2.02309E+13
2.02309E+13,USD,4539630275,519,16009,0,0,0,519,953720,20230926,20231015,20230831,2023,20230921,20230428,20230921,20230921,2.02309E+13
2.02309E+13,USD,4541739694,458,14125,0,0,0,458,953720,20230926,20231015,20230831,2023,20230921,20230428,20230921,20230921,2.02309E+13
2.02301E+13,USD,4534800218,153,4612,0,0,0,153,953720,20230118,20230115,20221130,2022,20230117,20220824,20230117,20230117,2.02301E+13
2.02309E+13,USD,4534529358,794,24269,0,0,0,794,858286,20230922,20231015,20230831,2023,20230922,20230428,20230922,20230922,2.02309E+13
2.02309E+13,USD,4510508611,31,933,0,0,0,31,858286,20230922,20231015,20230831,2023,20230921,20230428,20230921,20230921,2.02309E+13
2.02301E+13,USD,4518621888,183,2746,0,0,0,183,160261,20230124,20230126,20221215,2022,20230123,20220824,20230125,20230125,2.02301E+13
