"article_id","price","sellable_online"
447879,945,TRUE
127998,545,TRUE
323264,350,TRUE
923969,695,TRUE
547918,700,TRUE
332228,15,TRUE
496324,29,TRUE
349215,35,TRUE
163627,495,TRUE
952382,39,TRUE
947043,39,TRUE
538547,300,TRUE
935950,150,TRUE
184238,399,TRUE
612993,350,TRUE
676292,716,TRUE
936157,716,TRUE
196569,595,TRUE
422463,1295,TRUE
998686,145,TRUE
717307,150,TRUE
563038,70,TRUE
147485,85,TRUE
237655,15,TRUE
632308,995,TRUE
965208,449,TRUE
459565,345,TRUE
308649,150,TRUE
500959,50,TRUE
318033,345,TRUE
670936,375,TRUE
397342,39,FALSE
213013,265,TRUE
247256,300,TRUE
142047,1325,TRUE
489120,2475,TRUE
633849,179,TRUE
328507,2645,TRUE
547466,1060,TRUE
401108,1995,TRUE
554859,460,TRUE
225235,564,TRUE
707952,384,TRUE
211808,195,TRUE
504802,1595,TRUE
580939,350,TRUE
745080,3875,TRUE
852446,295,TRUE
470803,425,TRUE
895558,1750,TRUE
511553,755,TRUE
872158,1174,TRUE
260850,1926,TRUE
838806,1245,TRUE
458573,244,TRUE
830059,1629,TRUE
660993,1196,TRUE
364757,596,TRUE
656825,3340,TRUE
530589,1860,TRUE
564112,1181,TRUE
151406,385,TRUE
637477,356,TRUE
399300,275,TRUE
892022,500,TRUE
391629,720,TRUE
742500,295,TRUE
688828,620,TRUE
653341,1575,TRUE
289169,2765,TRUE
345286,2765,TRUE
782007,275,TRUE
290461,2765,TRUE
821440,595,TRUE
916232,900,TRUE
421086,2020,TRUE
150258,1510,TRUE
215747,960,TRUE
620630,585,TRUE
856402,2975,TRUE
669707,1295,TRUE
806057,1475,TRUE
768703,595,TRUE
936305,400,TRUE
999455,3746,TRUE
773798,6895,TRUE
696933,995,TRUE
782453,850,TRUE
264909,365,TRUE
641360,2700,TRUE
111019,4100,TRUE
345767,4783,TRUE
963752,2895,TRUE
533343,7748,TRUE
550060,544.4,TRUE
984440,275,TRUE
166954,636,TRUE
672239,3925,TRUE
260896,8495,TRUE
751733,6095,TRUE
932749,1800,TRUE
659720,6395,TRUE
306168,2781,TRUE
953277,620,TRUE
232782,1220,TRUE
